category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Carlow,Myshall,0.66,0.8,0.82,0.68,0.76,0.86,0.26,0.6111111111111112,0,0,1,0.674468085106383,0.66,0.66,0.66,0.62,0.68,0.67,0.67,0.66,0.67,0.67
Small Town,Cork,Dunmanway,0.66,0.75,0.86,0.66,0.7,0.84,0.38,0.6444444444444445,0,1,0,0.674468085106383,0.67,0.67,0.67,0.63,0.66,0.67,0.67,0.66,0.67,0.67
Village,Cork,Banteer,0.66,0.7333333333333333,0.88,0.78,0.62,0.78,0.32,0.7222222222222222,0,0,1,0.674468085106383,0.68,0.68,0.68,0.62,0.68,0.67,0.67,0.66,0.67,0.67
Village,Wexford,Ballyduff,0.7,0.8,0.84,0.58,0.62,0.74,0.36,0.7333333333333333,0,0,1,0.6723404255319149,0.67,0.66,0.67,0.62,0.67,0.67,0.66,0.66,0.67,0.67
Village,Carlow,Rathanna,0.66,0.6666666666666666,0.8,0.66,0.7,0.82,0.32,0.7888888888888889,0,0,1,0.6723404255319149,0.67,0.67,0.67,0.62,0.65,0.66,0.66,0.64,0.65,0.65
Large Town,Limerick,Newcastle West,0.82,0.7666666666666667,0.9,0.72,0.7,0.86,0.3,0.5444444444444444,0,0,0,0.6723404255319149,0.68,0.68,0.68,0.63,0.7,0.69,0.7,0.67,0.69,0.69
Large Urban Centre,Wicklow,Greystones,0.7,0.7666666666666667,0.82,0.56,0.7,0.92,0.3,0.6222222222222222,1,0,0,0.6723404255319149,0.66,0.66,0.66,0.63,0.67,0.67,0.66,0.64,0.66,0.66
Small Town,Dublin,Chapelizod,0.76,0.7666666666666667,0.76,0.28,0.78,0.88,0.96,0.3888888888888889,0,1,0,0.6723404255319149,0.66,0.65,0.66,0.63,0.67,0.65,0.65,0.65,0.67,0.67
Small Town,Wexford,Kilrane-Rosslare Harbour,0.7,0.85,0.94,0.68,0.62,0.74,0.34,0.6222222222222222,0,1,0,0.6723404255319149,0.67,0.67,0.67,0.63,0.66,0.67,0.67,0.67,0.67,0.67
Large Town,Wexford,Gorey,0.76,0.8333333333333334,0.9,0.6,0.7,0.9,0.24,0.5666666666666667,0,0,0,0.6723404255319149,0.67,0.67,0.67,0.63,0.68,0.67,0.66,0.67,0.66,0.66
Village,Tipperary,Ardfinnan,0.78,0.85,0.88,0.68,0.64,0.72,0.36,0.6,0,0,1,0.6723404255319149,0.67,0.67,0.67,0.62,0.68,0.68,0.68,0.68,0.68,0.68
Village,Louth,Greenore,0.76,0.8833333333333333,0.82,0.5,0.76,0.78,0.26,0.7,0,0,1,0.6723404255319149,0.67,0.67,0.67,0.62,0.67,0.67,0.67,0.65,0.67,0.67
