category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Donegal,Maghery,0.8,0.6666666666666666,0.66,0.64,0.58,0.7,0.32,0.6777777777777778,0,0,1,0.6340425531914894,0.62,0.62,0.62,0.62,0.64,0.63,0.63,0.61,0.63,0.63
Village,Dublin,Donnybrook,0.72,0.6333333333333333,0.82,0.54,0.74,0.84,0.3,0.5666666666666667,0,0,1,0.6340425531914894,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.62,0.63,0.63
Village,Galway,Na Forbacha,0.64,0.7666666666666667,0.74,0.62,0.64,0.78,0.3,0.6555555555555556,0,0,1,0.6340425531914894,0.63,0.63,0.63,0.62,0.61,0.63,0.63,0.64,0.63,0.63
Village,Kilkenny,Clogh,0.72,0.6333333333333333,0.84,0.52,0.62,0.84,0.34,0.6444444444444445,0,0,1,0.6319148936170212,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.64,0.63,0.63
Large Urban Centre,Dublin,Ballymun,0.62,0.7666666666666667,0.78,0.78,0.62,0.74,0.52,0.4777777777777778,1,0,0,0.6319148936170212,0.64,0.64,0.64,0.63,0.64,0.64,0.64,0.63,0.63,0.63
Small Town,Galway,Portumna,0.7,0.65,0.88,0.66,0.66,0.74,0.28,0.5888888888888889,0,1,0,0.6319148936170212,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63,0.62,0.62
Small Town,Kilkenny,Moneenroe,0.62,0.7333333333333333,0.86,0.62,0.64,0.86,0.28,0.5888888888888889,0,1,0,0.6319148936170212,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Small Town,Westmeath,Moate,0.62,0.7,0.84,0.78,0.68,0.78,0.2,0.5444444444444444,0,1,0,0.6319148936170212,0.62,0.63,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Small Town,Westmeath,Kilbeggan,0.62,0.6833333333333333,0.84,0.68,0.6,0.76,0.32,0.5333333333333333,0,1,0,0.6319148936170212,0.61,0.62,0.61,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Small Town,Dublin,Finglas,0.64,0.7,0.88,0.8,0.58,0.82,0.32,0.5333333333333333,0,1,0,0.6319148936170212,0.64,0.64,0.64,0.63,0.63,0.64,0.64,0.64,0.64,0.64
Small Town,Waterford,Dunmore East,0.74,0.75,0.84,0.54,0.6,0.88,0.26,0.5666666666666667,0,1,0,0.6319148936170212,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64
Village,Roscommon,Curraghboy,0.8,0.6333333333333333,0.7,0.5,0.58,0.8,0.36,0.7444444444444445,0,0,1,0.6319148936170212,0.64,0.63,0.64,0.62,0.62,0.63,0.63,0.61,0.63,0.63
Village,Cork,Grenagh,0.6,0.65,0.86,0.54,0.76,0.82,0.34,0.6111111111111112,0,0,1,0.6319148936170212,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.63,0.62,0.62
Village,Wexford,Askamore,0.62,0.8,0.78,0.46,0.6,0.84,0.24,0.7444444444444445,0,0,1,0.6319148936170212,0.64,0.64,0.64,0.62,0.68,0.64,0.64,0.64,0.63,0.63
Village,Tipperary,Two-Mile-Borris,0.76,0.6833333333333333,0.78,0.54,0.68,0.76,0.28,0.6444444444444445,0,0,1,0.6319148936170212,0.63,0.63,0.63,0.62,0.64,0.63,0.63,0.63,0.63,0.63
Village,Offaly,Kinnitty,0.64,0.7,0.84,0.52,0.68,0.76,0.34,0.6222222222222222,0,0,1,0.6319148936170212,0.63,0.63,0.63,0.62,0.64,0.63,0.63,0.63,0.63,0.63
Large Town,Meath,Kells,0.68,0.6666666666666666,0.86,0.42,0.74,0.82,0.34,0.6111111111111112,0,0,0,0.6319148936170212,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
Small Town,Galway,Oughterard,0.66,0.7166666666666667,0.8,0.6,0.52,0.82,0.48,0.5888888888888889,0,1,0,0.6319148936170212,0.63,0.64,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Large Town,Tipperary,Carrick-On-Suir,0.86,0.7,0.92,0.52,0.76,0.88,0.3,0.45555555555555555,0,0,0,0.6297872340425532,0.65,0.64,0.65,0.63,0.61,0.63,0.63,0.64,0.63,0.63
Village,Limerick,Kilmeedy,0.62,0.6166666666666667,0.8,0.58,0.64,0.84,0.36,0.6777777777777778,0,0,1,0.6297872340425532,0.63,0.63,0.63,0.62,0.62,0.63,0.64,0.63,0.63,0.63
Village,Laois,Killasmeestia,0.68,0.6333333333333333,0.7,0.68,0.66,0.76,0.26,0.7333333333333333,0,0,1,0.6297872340425532,0.63,0.63,0.63,0.62,0.64,0.63,0.63,0.61,0.63,0.63
Small Town,Kilkenny,Ballyragget,0.72,0.7166666666666667,0.78,0.6,0.52,0.8,0.32,0.5888888888888889,0,1,0,0.6297872340425532,0.62,0.62,0.62,0.63,0.61,0.63,0.63,0.63,0.62,0.62
Village,Kilkenny,Dungarvan,0.8,0.5666666666666667,0.9,0.42,0.66,0.82,0.24,0.7222222222222222,0,0,1,0.6297872340425532,0.64,0.63,0.64,0.62,0.63,0.64,0.64,0.64,0.63,0.63
Village,Clare,Bridgetown,0.58,0.6,0.9,0.52,0.72,0.82,0.24,0.7111111111111111,0,0,1,0.6297872340425532,0.63,0.63,0.63,0.62,0.63,0.64,0.64,0.63,0.63,0.63
Small Town,Galway,Claregalway,0.7,0.6166666666666667,0.84,0.62,0.54,0.8,0.36,0.6666666666666666,0,1,0,0.6297872340425532,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64
Small Town,Limerick,Murroe,0.6,0.7166666666666667,0.86,0.6,0.7,0.86,0.28,0.5777777777777777,0,1,0,0.6297872340425532,0.63,0.64,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Large Urban Centre,Dublin,Balbriggan,0.66,0.8166666666666667,0.72,0.7,0.62,0.78,0.34,0.5666666666666667,1,0,0,0.6297872340425532,0.64,0.64,0.64,0.63,0.61,0.62,0.62,0.62,0.62,0.62
Village,Limerick,Knocklong,0.78,0.7166666666666667,0.86,0.5,0.64,0.78,0.3,0.6222222222222222,0,0,1,0.6297872340425532,0.64,0.64,0.64,0.62,0.64,0.63,0.63,0.65,0.64,0.64
Village,Carlow,Fenagh,0.72,0.6666666666666666,0.8,0.36,0.78,0.78,0.28,0.7,0,0,1,0.6276595744680851,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.62,0.64,0.64
Village,Tipperary,Kilcommon,0.58,0.7333333333333333,0.86,0.6,0.58,0.82,0.32,0.6555555555555556,0,0,1,0.6276595744680851,0.64,0.64,0.64,0.62,0.65,0.63,0.63,0.65,0.64,0.64
Small Town,Wexford,Bunclody,0.68,0.7833333333333333,0.82,0.5,0.68,0.86,0.3,0.5666666666666667,0,1,0,0.6276595744680851,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Village,Louth,Annagassan,0.64,0.8,0.82,0.48,0.72,0.76,0.24,0.6555555555555556,0,0,1,0.6276595744680851,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.64,0.63,0.63
Village,Limerick,Kildimo,0.64,0.7166666666666667,0.78,0.48,0.66,0.8,0.3,0.6666666666666666,0,0,1,0.6276595744680851,0.62,0.62,0.62,0.62,0.64,0.63,0.63,0.63,0.63,0.63
Village,Westmeath,Tang,0.76,0.7,0.74,0.52,0.54,0.82,0.32,0.6444444444444445,0,0,1,0.6276595744680851,0.62,0.62,0.62,0.62,0.64,0.62,0.63,0.64,0.63,0.63
Village,Clare,Cooraclare,0.54,0.6166666666666667,0.82,0.68,0.62,0.8,0.26,0.6444444444444445,0,0,1,0.6276595744680851,0.61,0.62,0.61,0.62,0.65,0.63,0.63,0.63,0.63,0.63
Small Town,Mayo,Ballyhaunis,0.64,0.6833333333333333,0.84,0.64,0.6,0.84,0.32,0.5777777777777777,0,1,0,0.6276595744680851,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Village,Kildare,Timolin,0.72,0.7166666666666667,0.74,0.6,0.58,0.7,0.32,0.7,0,0,1,0.6276595744680851,0.63,0.63,0.63,0.62,0.64,0.63,0.63,0.64,0.64,0.64
Village,Laois,Borris-In-Ossory,0.78,0.75,0.9,0.4,0.58,0.64,0.34,0.7,0,0,1,0.6276595744680851,0.63,0.63,0.63,0.62,0.64,0.65,0.65,0.64,0.63,0.63
Large Town,Offaly,Edenderry,0.58,0.7666666666666667,0.78,0.62,0.7,0.88,0.34,0.5111111111111111,0,0,0,0.6276595744680851,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.63,0.63
Small Town,Dublin,Temple Bar,0.58,0.7666666666666667,0.78,0.56,0.64,0.78,0.32,0.6333333333333333,0,1,0,0.625531914893617,0.63,0.63,0.63,0.63,0.61,0.62,0.62,0.63,0.63,0.63
Small Town,Westmeath,Rochfortbridge,0.64,0.7,0.84,0.58,0.7,0.8,0.26,0.5666666666666667,0,1,0,0.625531914893617,0.62,0.62,0.62,0.63,0.63,0.63,0.62,0.63,0.62,0.62
Village,Laois,Errill,0.68,0.7833333333333333,0.9,0.4,0.64,0.78,0.26,0.6777777777777778,0,0,1,0.625531914893617,0.64,0.64,0.64,0.62,0.64,0.64,0.64,0.65,0.64,0.64
Village,Limerick,Athea,0.66,0.6333333333333333,0.72,0.68,0.68,0.76,0.32,0.6222222222222222,0,0,1,0.625531914893617,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62
Small Town,Roscommon,Boyle,0.78,0.7,0.84,0.64,0.64,0.74,0.3,0.5555555555555556,0,1,0,0.625531914893617,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.63
Small Town,Laois,Mountmellick,0.6,0.7833333333333333,0.8,0.6,0.68,0.8,0.38,0.5555555555555556,0,1,0,0.625531914893617,0.63,0.63,0.63,0.63,0.62,0.63,0.63,0.64,0.63,0.63
Village,Westmeath,Tubberclair,0.76,0.65,0.82,0.54,0.7,0.8,0.24,0.6333333333333333,0,0,1,0.625531914893617,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.64,0.63,0.63
Village,Offaly,Rhode,0.78,0.65,0.84,0.42,0.72,0.84,0.3,0.5888888888888889,0,0,1,0.625531914893617,0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.63,0.62,0.62
Village,Wicklow,Donard,0.64,0.75,0.86,0.62,0.5,0.7,0.26,0.6777777777777778,0,0,1,0.625531914893617,0.62,0.63,0.62,0.62,0.64,0.64,0.64,0.64,0.63,0.63
Village,Roscommon,Knockcroghery,0.72,0.7166666666666667,0.82,0.52,0.52,0.66,0.3,0.7222222222222222,0,0,1,0.6234042553191489,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63
Small Town,Limerick,Hospital,0.68,0.6833333333333333,0.92,0.58,0.6,0.82,0.3,0.5888888888888889,0,1,0,0.6234042553191489,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.64,0.62,0.62
Village,Wicklow,Hollywood,0.64,0.6166666666666667,0.78,0.56,0.64,0.76,0.32,0.6111111111111112,0,0,1,0.6234042553191489,0.61,0.61,0.61,0.62,0.62,0.61,0.61,0.62,0.61,0.61
Small Town,Mayo,Ballinrobe,0.66,0.7,0.7,0.72,0.62,0.8,0.4,0.5444444444444444,0,1,0,0.6234042553191489,0.62,0.62,0.62,0.63,0.61,0.61,0.6,0.6,0.61,0.61
Village,Galway,Woodford,0.66,0.6833333333333333,0.68,0.62,0.68,0.76,0.3,0.6222222222222222,0,0,1,0.6234042553191489,0.62,0.61,0.62,0.62,0.61,0.62,0.62,0.6,0.62,0.62
Village,Louth,Collon,0.68,0.7333333333333333,0.84,0.6,0.74,0.84,0.16,0.6111111111111112,0,0,1,0.6234042553191489,0.64,0.64,0.64,0.62,0.62,0.63,0.63,0.64,0.64,0.64
Village,Longford,Kenagh,0.72,0.6666666666666666,0.76,0.56,0.62,0.82,0.32,0.6,0,0,1,0.6234042553191489,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62
Large Town,Meath,Ratoath,0.66,0.6666666666666666,0.8,0.52,0.8,0.78,0.46,0.5222222222222223,0,0,0,0.6234042553191489,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62
Village,Wicklow,Laragh-Glendalough,0.62,0.5833333333333334,0.82,0.62,0.6,0.82,0.26,0.6888888888888889,0,0,1,0.6234042553191489,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.62,0.62
Small Town,Clare,Ennistymon,0.62,0.8,0.8,0.56,0.62,0.76,0.34,0.5555555555555556,0,1,0,0.6234042553191489,0.62,0.62,0.62,0.63,0.62,0.63,0.63,0.63,0.62,0.62
Village,Offaly,Belmont,0.72,0.7,0.78,0.46,0.72,0.78,0.38,0.5222222222222223,0,0,1,0.6234042553191489,0.61,0.61,0.61,0.62,0.61,0.62,0.62,0.62,0.63,0.63
Village,Galway,Roundstone,0.64,0.65,0.8,0.56,0.62,0.82,0.32,0.6555555555555556,0,0,1,0.6234042553191489,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.62
Village,Clare,Scarriff,0.62,0.6666666666666666,0.78,0.6,0.7,0.76,0.4,0.5666666666666667,0,0,1,0.6234042553191489,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.61,0.62,0.62
Village,Cork,Inchigeelagh,0.6,0.6333333333333333,0.86,0.62,0.6,0.76,0.32,0.6,0,0,1,0.6212765957446809,0.61,0.61,0.61,0.62,0.62,0.62,0.62,0.62,0.61,0.61
Village,Leitrim,Keshcarrigan,0.68,0.7,0.86,0.56,0.62,0.74,0.34,0.5888888888888889,0,0,1,0.6212765957446809,0.62,0.62,0.62,0.62,0.63,0.62,0.62,0.63,0.62,0.62
Small Town,Leitrim,Kinlough,0.64,0.7333333333333333,0.7,0.5,0.72,0.76,0.32,0.6777777777777778,0,1,0,0.6212765957446809,0.63,0.62,0.63,0.63,0.62,0.62,0.62,0.62,0.63,0.63
Small Town,Cork,Newmarket,0.68,0.6833333333333333,0.84,0.72,0.58,0.8,0.26,0.5888888888888889,0,1,0,0.6212765957446809,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.62,0.62
Village,Galway,Glenamaddy,0.68,0.6,0.76,0.64,0.68,0.78,0.38,0.5666666666666667,0,0,1,0.6212765957446809,0.62,0.62,0.62,0.62,0.59,0.62,0.62,0.62,0.62,0.62
Small Town,Wicklow,Newtown Mount Kennedy,0.66,0.7166666666666667,0.74,0.7,0.64,0.66,0.3,0.6,0,1,0,0.6212765957446809,0.61,0.62,0.61,0.63,0.62,0.62,0.62,0.61,0.61,0.61
Small Town,Wicklow,Tinahely,0.62,0.7333333333333333,0.76,0.68,0.64,0.8,0.3,0.5555555555555556,0,1,0,0.6212765957446809,0.62,0.62,0.62,0.63,0.61,0.62,0.62,0.62,0.62,0.62
Large Town,Dublin,Blackrock,0.8,0.7,0.8,0.52,0.68,0.82,0.26,0.5222222222222223,0,0,0,0.6212765957446809,0.62,0.62,0.62,0.63,0.63,0.62,0.62,0.64,0.63,0.63
Village,Clare,Killimer,0.58,0.7333333333333333,0.78,0.48,0.62,0.78,0.24,0.7444444444444445,0,0,1,0.6212765957446809,0.62,0.62,0.62,0.62,0.68,0.63,0.64,0.63,0.63,0.63
Large Town,Galway,Oranmore,0.6,0.65,0.8,0.6,0.7,0.8,0.36,0.5666666666666667,0,0,0,0.6212765957446809,0.62,0.62,0.62,0.63,0.62,0.62,0.62,0.63,0.62,0.62
Village,Kildare,Moone,0.64,0.7666666666666667,0.74,0.5,0.66,0.76,0.28,0.7,0,0,1,0.6191489361702127,0.63,0.63,0.63,0.62,0.66,0.62,0.62,0.63,0.62,0.62
Village,Offaly,Shannonbridge,0.74,0.5666666666666667,0.8,0.58,0.68,0.82,0.22,0.5333333333333333,0,0,1,0.6191489361702127,0.6,0.6,0.6,0.62,0.59,0.61,0.61,0.61,0.6,0.6
Village,Kilkenny,Bennettsbridge,0.76,0.7166666666666667,0.84,0.6,0.58,0.8,0.32,0.5888888888888889,0,0,1,0.6191489361702127,0.64,0.64,0.64,0.62,0.62,0.62,0.62,0.64,0.63,0.63
Village,Offaly,Shinrone,0.78,0.7,0.8,0.54,0.74,0.78,0.32,0.5111111111111111,0,0,1,0.6191489361702127,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.63,0.63
Small Town,Kilkenny,Piltown,0.8,0.7333333333333333,0.76,0.54,0.58,0.72,0.36,0.5666666666666667,0,1,0,0.6191489361702127,0.62,0.62,0.62,0.63,0.61,0.61,0.62,0.62,0.6,0.6
Village,Donegal,Narin-Portnoo,0.68,0.5166666666666667,0.66,0.68,0.7,0.7,0.24,0.7444444444444445,0,0,1,0.6191489361702127,0.61,0.61,0.61,0.62,0.6,0.61,0.61,0.6,0.61,0.61
Village,Wexford,Monageer,0.62,0.75,0.86,0.48,0.54,0.8,0.24,0.6666666666666666,0,0,1,0.6191489361702127,0.62,0.62,0.62,0.62,0.66,0.64,0.64,0.64,0.63,0.63
Small Town,Kildare,Sallins,0.7,0.7333333333333333,0.82,0.62,0.8,0.66,0.26,0.5444444444444444,0,1,0,0.6191489361702127,0.62,0.62,0.62,0.63,0.62,0.62,0.62,0.61,0.62,0.62
Small Town,Cavan,Belturbet,0.7,0.6333333333333333,0.74,0.6,0.66,0.68,0.36,0.6444444444444445,0,1,0,0.6170212765957447,0.62,0.62,0.62,0.63,0.62,0.61,0.62,0.62,0.61,0.61
Village,Cork,Knockraha,0.68,0.6833333333333333,0.72,0.56,0.7,0.78,0.3,0.6333333333333333,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.62
Small Town,Cavan,Virginia,0.66,0.7166666666666667,0.78,0.7,0.66,0.78,0.34,0.5222222222222223,0,1,0,0.6170212765957447,0.62,0.63,0.62,0.63,0.61,0.63,0.63,0.63,0.63,0.63
Village,Roscommon,Kilteevan,0.7,0.5833333333333334,0.76,0.56,0.62,0.78,0.4,0.6333333333333333,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.6,0.61,0.61,0.62,0.61,0.61
Large Urban Centre,Cork,Togher,0.66,0.6333333333333333,0.74,0.7,0.68,0.7,0.34,0.6,1,0,0,0.6170212765957447,0.62,0.62,0.62,0.63,0.63,0.62,0.62,0.62,0.63,0.63
Small Town,Dublin,Newcastle Lyons,0.66,0.7833333333333333,0.74,0.38,0.76,0.8,0.32,0.5555555555555556,0,1,0,0.6170212765957447,0.61,0.61,0.61,0.63,0.61,0.62,0.62,0.63,0.62,0.62
Village,Kerry,Brosna,0.68,0.6,0.74,0.62,0.68,0.72,0.34,0.6666666666666666,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Village,Sligo,Easkey,0.66,0.7166666666666667,0.74,0.52,0.74,0.76,0.4,0.5666666666666667,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.62,0.61,0.61
Large Town,Kildare,Athy,0.66,0.75,0.76,0.62,0.66,0.82,0.34,0.5222222222222223,0,0,0,0.6170212765957447,0.62,0.62,0.62,0.63,0.61,0.62,0.62,0.63,0.62,0.62
Village,Limerick,Kilteely,0.66,0.5666666666666667,0.82,0.58,0.6,0.8,0.34,0.6666666666666666,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Village,Tipperary,Clogheen,0.7,0.6666666666666666,0.76,0.54,0.68,0.74,0.26,0.6777777777777778,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Village,Kerry,Kilmoyley,0.62,0.7166666666666667,0.72,0.62,0.6,0.74,0.42,0.6333333333333333,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62
Village,Clare,Kilmihil,0.64,0.6666666666666666,0.9,0.5,0.64,0.78,0.3,0.5888888888888889,0,0,1,0.6170212765957447,0.61,0.62,0.61,0.62,0.62,0.62,0.62,0.62,0.61,0.61
Village,Clare,Cranny,0.66,0.7,0.86,0.54,0.7,0.66,0.22,0.6444444444444445,0,0,1,0.6170212765957447,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Village,Tipperary,Hollyford,0.7,0.7666666666666667,0.78,0.5,0.68,0.74,0.24,0.6555555555555556,0,0,1,0.6170212765957447,0.63,0.63,0.63,0.62,0.61,0.62,0.63,0.62,0.61,0.61
Small Town,Longford,Edgeworthstown,0.64,0.6833333333333333,0.76,0.7,0.52,0.78,0.34,0.6,0,1,0,0.6148936170212767,0.62,0.62,0.62,0.63,0.61,0.62,0.62,0.63,0.62,0.62
Village,Dublin,Ballyboughal,0.62,0.7666666666666667,0.76,0.56,0.72,0.74,0.24,0.6111111111111112,0,0,1,0.6148936170212767,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.62
Village,Offaly,Moneygall,0.7,0.65,0.78,0.52,0.62,0.76,0.34,0.6222222222222222,0,0,1,0.6148936170212767,0.61,0.61,0.61,0.62,0.62,0.61,0.61,0.62,0.62,0.62
Village,Roscommon,Athleague,0.66,0.7,0.84,0.58,0.6,0.78,0.3,0.5888888888888889,0,0,1,0.6148936170212767,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.61,0.61
Large Town,Meath,Ashbourne,0.62,0.7666666666666667,0.76,0.58,0.74,0.82,0.26,0.5222222222222223,0,0,0,0.6148936170212767,0.62,0.62,0.62,0.63,0.61,0.62,0.62,0.62,0.62,0.62
Village,Limerick,Tournafulla,0.64,0.65,0.66,0.62,0.58,0.82,0.36,0.6777777777777778,0,0,1,0.6148936170212767,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.62,0.62
Village,Carlow,Tinryland,0.7,0.6833333333333333,0.72,0.58,0.68,0.74,0.32,0.6333333333333333,0,0,1,0.6148936170212767,0.62,0.62,0.62,0.62,0.61,0.62,0.61,0.61,0.62,0.62
Village,Westmeath,Rathowen,0.66,0.6333333333333333,0.84,0.56,0.68,0.78,0.3,0.6,0,0,1,0.6127659574468085,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61
Small Town,Donegal,Carndonagh,0.72,0.7,0.7,0.44,0.68,0.76,0.34,0.5777777777777777,0,1,0,0.6127659574468085,0.6,0.6,0.6,0.63,0.61,0.61,0.61,0.6,0.61,0.61
Large Town,Meath,Dunboyne,0.66,0.7,0.88,0.46,0.74,0.84,0.32,0.5,0,0,0,0.6127659574468085,0.62,0.62,0.62,0.63,0.61,0.62,0.62,0.63,0.62,0.62
Village,Galway,Lawrencetown,0.7,0.6333333333333333,0.78,0.54,0.6,0.82,0.32,0.6,0,0,1,0.6127659574468085,0.61,0.61,0.61,0.62,0.62,0.61,0.61,0.62,0.61,0.61
Village,Galway,Letterfrack,0.58,0.6833333333333333,0.72,0.7,0.6,0.8,0.36,0.5666666666666667,0,0,1,0.6127659574468085,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.61,0.61
Village,Carlow,Ballinabranna,0.58,0.7833333333333333,0.66,0.52,0.68,0.74,0.36,0.6444444444444445,0,0,1,0.6127659574468085,0.62,0.61,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6
Village,Westmeath,Moyvore,0.7,0.55,0.84,0.58,0.64,0.72,0.28,0.6888888888888889,0,0,1,0.6127659574468085,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.62,0.62,0.62
Small Town,Westmeath,Kinnegad,0.62,0.6666666666666666,0.82,0.54,0.66,0.82,0.3,0.5333333333333333,0,1,0,0.6127659574468085,0.6,0.61,0.6,0.63,0.61,0.61,0.61,0.62,0.61,0.61
Village,Westmeath,Castledaly,0.6,0.65,0.8,0.54,0.64,0.78,0.18,0.6333333333333333,0,0,1,0.6127659574468085,0.6,0.6,0.6,0.62,0.62,0.61,0.61,0.62,0.61,0.61
Village,Limerick,Glenbrohane,0.64,0.6666666666666666,0.82,0.56,0.64,0.84,0.3,0.6,0,0,1,0.6127659574468085,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.63,0.62,0.62
Village,Westmeath,Milltownpass,0.78,0.6166666666666667,0.82,0.52,0.58,0.82,0.22,0.6555555555555556,0,0,1,0.6127659574468085,0.62,0.62,0.62,0.62,0.63,0.62,0.62,0.63,0.61,0.61
Village,Roscommon,Dysart,0.68,0.6666666666666666,0.74,0.56,0.52,0.78,0.42,0.6111111111111112,0,0,1,0.6106382978723405,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.62,0.61,0.61
Village,Tipperary,Rearcross/Crois Na Rae,0.64,0.6666666666666666,0.72,0.8,0.6,0.72,0.3,0.5555555555555556,0,0,1,0.6106382978723405,0.61,0.61,0.61,0.62,0.62,0.61,0.61,0.59,0.6,0.6
Village,Tipperary,Toor,0.68,0.6333333333333333,0.82,0.48,0.66,0.74,0.28,0.6555555555555556,0,0,1,0.6106382978723405,0.61,0.61,0.61,0.62,0.61,0.61,0.61,0.61,0.61,0.61
Village,Louth,Omeath,0.72,0.8166666666666667,0.8,0.56,0.6,0.72,0.26,0.5555555555555556,0,0,1,0.6106382978723405,0.62,0.62,0.62,0.62,0.66,0.64,0.64,0.63,0.62,0.62
Village,Longford,Ballinamuck,0.6,0.6666666666666666,0.76,0.36,0.72,0.82,0.24,0.6555555555555556,0,0,1,0.6106382978723405,0.6,0.6,0.6,0.62,0.61,0.61,0.61,0.61,0.61,0.61
Village,Galway,Castleblakeney,0.64,0.6666666666666666,0.78,0.64,0.58,0.76,0.28,0.6444444444444445,0,0,1,0.6106382978723405,0.62,0.62,0.62,0.62,0.61,0.62,0.62,0.62,0.62,0.62
Small Town,Cork,Charleville,0.74,0.6666666666666666,0.68,0.54,0.6,0.84,0.36,0.5666666666666667,0,1,0,0.6106382978723405,0.61,0.61,0.61,0.63,0.62,0.61,0.61,0.6,0.61,0.61
Village,Kerry,Kilcummin,0.62,0.6333333333333333,0.74,0.58,0.66,0.74,0.3,0.6555555555555556,0,0,1,0.6106382978723405,0.61,0.61,0.61,0.62,0.59,0.61,0.61,0.61,0.61,0.61
Village,Galway,Carna,0.74,0.6333333333333333,0.76,0.5,0.64,0.84,0.24,0.6333333333333333,0,0,1,0.6106382978723405,0.61,0.61,0.61,0.62,0.58,0.61,0.61,0.62,0.61,0.61
Small Town,Limerick,Abbeyfeale,0.68,0.6833333333333333,0.66,0.72,0.56,0.8,0.32,0.5888888888888889,0,1,0,0.6106382978723405,0.61,0.62,0.61,0.63,0.61,0.61,0.61,0.6,0.61,0.61
Small Town,Meath,Oldcastle,0.6,0.7,0.7,0.58,0.7,0.72,0.44,0.5555555555555556,0,1,0,0.6106382978723405,0.61,0.61,0.61,0.63,0.61,0.61,0.6,0.59,0.61,0.61
Village,Galway,Creggs,0.6,0.65,0.8,0.74,0.54,0.76,0.38,0.5666666666666667,0,0,1,0.6106382978723405,0.61,0.62,0.61,0.62,0.62,0.62,0.62,0.63,0.62,0.62
