category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_knn,pred_svr,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Cork,Sherkin Island,0.78,0.75,0.76,0.76,0.62,0.8,0.38,0.7111111111111111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,320.0,319.28,319.3,319.24,303.09,308.57,321.79,309.0,309.48,309.32,306.43,315.07,315.07
Village,Kerry,Tarbert,0.64,0.8333333333333334,0.84,0.7,0.68,0.84,0.44,0.6333333333333333,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,320.0,320.67,320.61,320.65,309.49,320.0,320.23,319.0,318.52,318.36,321.72,318.19,318.19
Village,Leitrim,Cloone,0.7,0.6833333333333333,0.9,0.48,0.7,0.86,0.52,0.7222222222222222,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,320.0,320.53,320.4,320.47,299.59,320.0,316.69,315.0,317.35,316.9,309.55,318.57,318.57
Large Urban Centre,Westmeath,Athlone,0.7,0.7833333333333333,0.88,0.74,0.74,0.88,0.28,0.5222222222222223,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,320.0,311.19,311.32,311.23,314.44,300.37,314.03,327.5,320.55,320.34,316.11,314.05,314.05
Village,Tipperary,Lorrha,0.82,0.7666666666666667,0.88,0.52,0.72,0.86,0.3,0.7222222222222222,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,320.0,322.62,322.54,322.58,302.03,320.0,321.21,315.0,319.49,319.18,308.66,321.68,321.68
Village,Tipperary,Holycross,0.62,0.7,0.92,0.7,0.72,0.9,0.32,0.7111111111111111,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,320.0,321.65,321.55,321.63,314.02,320.0,322.17,327.5,319.42,320.1,312.58,319.72,319.72
Village,Cork,Union Hall,0.66,0.7666666666666667,0.84,0.6,0.66,0.86,0.38,0.7333333333333333,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,320.0,318.96,318.79,318.9,302.8,320.0,319.96,327.0,316.34,316.27,308.56,316.53,316.53
Small Town,Meath,Enfield,0.76,0.7833333333333333,0.92,0.76,0.7,0.72,0.34,0.6444444444444445,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,320.0,320.48,320.43,320.48,316.76,320.0,321.35,319.0,320.74,320.98,324.54,321.23,321.23
Village,Meath,Batterstown,0.72,0.7666666666666667,0.9,0.64,0.66,0.78,0.36,0.7333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,320.0,320.56,320.72,320.53,309.05,320.68,321.03,331.0,325.25,326.04,324.02,331.05,331.05
Large Town,Kildare,Clane,0.68,0.9,0.88,0.74,0.7,0.74,0.32,0.6222222222222222,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,320.0,318.94,318.93,318.93,315.37,320.0,320.18,313.0,318.79,318.52,316.43,314.57,314.57
Village,Carlow,St Mullins,0.72,0.85,0.82,0.72,0.66,0.74,0.36,0.6666666666666666,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,319.0,317.63,317.67,317.61,307.83,319.0,318.77,321.0,319.2,319.65,316.43,318.3,318.3
Village,Cork,Ardfield,0.74,0.7166666666666667,0.92,0.48,0.68,0.8,0.28,0.7666666666666667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,319.0,313.12,313.07,313.08,301.32,319.0,314.06,314.0,316.48,317.04,306.09,315.21,315.21
Village,Longford,Drumlish,0.7,0.7,0.84,0.7,0.76,0.86,0.34,0.6555555555555556,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,319.0,317.54,317.4,317.51,306.48,319.0,319.23,319.0,316.48,316.06,311.63,314.73,314.73
Large Town,Wexford,Enniscorthy,0.7,0.8666666666666667,0.9,0.68,0.68,0.92,0.3,0.5333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,319.0,317.08,317.07,317.12,315.6,319.0,319.23,327.5,320.25,320.77,318.05,318.09,318.09
Village,Tipperary,Cloughjordan,0.74,0.6833333333333333,0.82,0.82,0.58,0.8,0.6,0.6222222222222222,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,319.0,322.69,322.56,322.68,309.88,319.0,320.35,313.0,318.28,318.2,312.47,317.34,317.34
Village,Tipperary,Cappawhite,0.74,0.8166666666666667,0.84,0.5,0.78,0.82,0.28,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,319.0,316.11,315.74,316.07,298.15,319.0,311.65,314.0,316.0,315.46,305.92,315.07,315.07
Village,Leitrim,Drumshanbo,0.76,0.8,0.94,0.7,0.6,0.78,0.52,0.5777777777777777,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,319.0,321.49,321.58,321.52,316.56,319.0,319.23,319.0,319.67,320.08,328.73,320.23,320.23
Small Town,Meath,Slane,0.76,0.6833333333333333,0.92,0.54,0.8,0.86,0.26,0.7333333333333333,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,319.0,320.81,320.5,320.75,304.53,319.0,319.89,315.0,317.94,317.94,306.79,319.55,319.55
Large Urban Centre,Kildare,Newbridge,0.72,0.9333333333333333,0.9,0.78,0.68,0.8,0.4,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,319.0,320.43,320.56,320.47,320.9,319.0,318.8,319.0,321.4,320.21,327.83,320.31,320.31
Village,Kilkenny,Gowran,0.7,0.75,0.88,0.82,0.7,0.84,0.4,0.6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,319.0,322.08,322.13,322.09,317.32,319.0,322.13,319.0,319.41,318.92,324.23,320.35,320.35
Small Town,Clare,Kilkee,0.66,0.7833333333333333,0.86,0.7,0.7,0.9,0.34,0.6666666666666666,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,319.0,321.25,321.16,321.22,310.84,319.0,319.23,327.5,320.92,320.67,323.16,322.39,322.39
Village,Donegal,Castlefinn,0.84,0.7,0.82,0.52,0.64,0.9,0.28,0.7111111111111111,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,318.0,313.68,313.52,313.64,295.71,295.09,314.52,315.0,310.99,311.24,304.86,310.63,310.63
Small Town,Kilkenny,Castlecomer,0.8,0.7,0.8,0.92,0.64,0.92,0.32,0.5555555555555556,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,318.0,318.36,318.46,318.4,315.54,318.0,318.23,315.0,314.42,315.3,307.69,315.98,315.98
Large Urban Centre,Galway,Galway City Centre,0.7,0.7833333333333333,0.82,0.74,0.64,0.82,0.5,0.5777777777777777,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,318.0,317.8,316.71,317.78,308.36,311.43,314.96,297.0,310.86,309.63,313.39,312.51,312.51
Village,Mayo,Cong,0.7,0.6833333333333333,0.88,0.7,0.56,0.92,0.44,0.6666666666666666,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,318.0,317.35,317.54,317.36,310.4,319.72,319.19,331.0,318.27,315.88,323.35,320.58,320.58
Village,Tipperary,Kilbarron,0.86,0.7166666666666667,0.8,0.54,0.64,0.76,0.4,0.8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,318.0,321.74,321.49,321.65,293.49,318.0,321.27,310.0,313.58,314.02,308.56,316.34,316.34
Large Town,Cork,Bandon,0.74,0.75,0.94,0.64,0.7,0.9,0.34,0.6222222222222222,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,317.0,320.8,320.64,320.8,313.8,302.62,313.73,332.0,323.25,322.77,318.65,321.16,321.16
Village,Cork,Banteer,0.66,0.7333333333333333,0.88,0.78,0.62,0.78,0.32,0.7222222222222222,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,317.0,317.96,317.86,317.94,313.94,317.0,317.14,313.0,317.3,316.92,314.4,316.66,316.66
Small Town,Cork,Dunmanway,0.66,0.75,0.86,0.66,0.7,0.84,0.38,0.6444444444444445,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,317.0,314.53,314.45,314.51,307.05,317.0,313.55,319.0,315.86,315.69,313.06,314.17,314.17
Village,Carlow,Myshall,0.66,0.8,0.82,0.68,0.76,0.86,0.26,0.6111111111111112,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,317.0,311.77,311.77,311.76,306.14,299.4,309.12,310.0,312.12,312.52,310.2,312.6,312.6
Small Town,Carlow,Bagenalstown,0.68,0.6333333333333333,0.94,0.64,0.72,0.88,0.42,0.6222222222222222,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,317.0,315.83,315.69,315.83,310.65,333.0,317.75,331.0,316.36,314.73,302.47,313.67,313.67
Small Town,Wexford,Kilrane-Rosslare Harbour,0.7,0.85,0.94,0.68,0.62,0.74,0.34,0.6222222222222222,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,316.0,313.68,313.78,313.7,316.17,316.0,316.23,313.0,315.82,316.86,317.95,314.08,314.08
Village,Louth,Greenore,0.76,0.8833333333333333,0.82,0.5,0.76,0.78,0.26,0.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,316.0,315.65,315.59,315.59,297.49,316.0,315.77,304.0,313.64,312.94,305.78,313.85,313.85
Large Town,Limerick,Newcastle West,0.82,0.7666666666666667,0.9,0.72,0.7,0.86,0.3,0.5444444444444444,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,316.0,316.4,316.31,316.43,314.43,326.71,320.57,334.0,325.48,325.88,317.95,321.4,321.4
Large Town,Dublin,Lusk,0.72,0.8333333333333334,0.86,0.72,0.7,0.9,0.32,0.5555555555555556,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,316.0,318.31,318.2,318.32,313.14,316.0,316.23,326.0,319.05,318.62,317.85,319.27,319.27
Village,Tipperary,Ardfinnan,0.78,0.85,0.88,0.68,0.64,0.72,0.36,0.6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,316.0,314.35,314.36,314.37,310.66,316.0,315.5,321.0,318.52,318.02,324.53,317.93,317.93
Village,Cork,Milford,0.78,0.7166666666666667,0.88,0.62,0.66,0.78,0.3,0.7111111111111111,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,316.0,314.83,314.71,314.81,305.01,316.0,314.82,310.0,316.13,315.36,313.41,315.96,315.96
Small Town,Dublin,Chapelizod,0.76,0.7666666666666667,0.76,0.28,0.78,0.88,0.96,0.3888888888888889,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,316.0,309.99,309.8,309.96,279.05,316.0,315.77,290.0,304.14,302.5,303.27,313.98,313.98
Large Town,Wexford,Gorey,0.76,0.8333333333333334,0.9,0.6,0.7,0.9,0.24,0.5666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,316.0,313.19,313.19,313.22,310.24,316.0,315.77,322.0,313.61,313.86,309.98,312.72,312.72
Large Urban Centre,Laois,Portlaoise,0.7,0.7666666666666667,0.94,0.54,0.7,0.9,0.38,0.6111111111111112,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,316.0,315.84,315.79,315.84,308.89,316.0,316.23,322.0,314.32,314.89,307.81,314.41,314.41
Village,Wexford,Ballyduff,0.7,0.8,0.84,0.58,0.62,0.74,0.36,0.7333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,316.0,312.87,312.85,312.83,300.89,316.0,313.13,288.0,313.99,313.58,305.92,311.53,311.53
Village,Carlow,Rathanna,0.66,0.6666666666666666,0.8,0.66,0.7,0.82,0.32,0.7888888888888889,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,316.0,314.94,314.78,314.87,299.48,316.0,315.48,310.0,312.67,312.74,304.69,313.98,313.98
Village,Cork,Newcestown,0.8,0.6833333333333333,0.9,0.44,0.62,0.88,0.28,0.7888888888888889,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,315.0,315.46,315.37,315.41,297.74,315.0,314.77,315.0,315.32,314.6,306.45,314.75,314.75
Village,Kerry,Glenbeigh,0.72,0.75,0.86,0.62,0.66,0.8,0.46,0.6222222222222222,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,315.0,312.78,312.87,312.78,304.36,315.0,314.77,313.0,313.98,314.16,312.58,314.72,314.72
Small Town,Clare,Newmarket-On-Fergus,0.72,0.6833333333333333,0.94,0.6,0.66,0.88,0.36,0.6333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,315.0,312.54,312.68,312.55,309.75,318.22,310.29,304.0,310.99,310.26,308.36,308.76,308.76
Village,Limerick,Broadford,0.62,0.7166666666666667,0.88,0.76,0.66,0.86,0.4,0.6444444444444445,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,315.0,317.41,317.37,317.41,313.58,315.0,315.23,303.0,315.22,315.0,318.05,316.55,316.55
Village,Galway,Clarinbridge,0.72,0.6833333333333333,0.82,0.72,0.68,0.82,0.36,0.6888888888888889,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,315.0,315.63,315.48,315.6,304.83,315.0,316.09,315.0,314.98,315.35,312.51,318.99,318.99
Village,Meath,Julianstown,0.64,0.7833333333333333,0.88,0.74,0.78,0.72,0.38,0.6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,315.0,313.73,313.67,313.72,312.21,315.0,313.65,313.0,315.94,316.67,316.59,315.77,315.77
Village,Offaly,Ballycumber,0.78,0.8333333333333334,0.9,0.56,0.6,0.84,0.38,0.6333333333333333,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,315.0,317.41,317.41,317.4,307.27,315.0,315.28,313.0,313.94,314.14,311.85,313.82,313.82
Village,Cork,Ballinadee,0.74,0.65,0.86,0.58,0.72,0.82,0.34,0.7555555555555555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,315.0,315.18,315.23,315.13,300.04,315.0,317.93,321.5,312.08,312.63,302.61,314.58,314.58
Village,Roscommon,Croghan,0.76,0.6833333333333333,0.9,0.52,0.6,0.84,0.36,0.7888888888888889,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,315.0,317.9,317.85,317.86,301.44,315.0,314.97,314.0,315.58,315.14,310.2,316.51,316.51
Small Town,Kerry,Castleisland,0.7,0.8,0.8,0.66,0.68,0.86,0.42,0.6111111111111112,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,315.0,315.38,315.45,315.35,303.33,315.0,315.23,310.0,315.08,315.21,316.59,317.39,317.39
Village,Westmeath,Glasson,0.8,0.6833333333333333,0.84,0.68,0.7,0.86,0.22,0.6777777777777778,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,315.0,314.33,314.21,314.32,305.0,315.0,314.99,315.0,313.86,314.12,311.51,313.95,313.95
Small Town,Louth,Dunleer,0.76,0.8,0.82,0.54,0.68,0.88,0.28,0.6777777777777778,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,315.0,313.82,313.67,313.79,298.96,315.0,314.77,315.0,314.4,313.96,306.45,312.01,312.01
Village,Wexford,Foulksmills,0.74,0.7333333333333333,0.92,0.5,0.68,0.84,0.26,0.7111111111111111,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,315.0,311.4,311.46,311.39,303.36,315.0,313.6,314.0,315.45,315.33,305.92,312.43,312.43
Village,Cork,Courtmacsherry,0.8,0.6166666666666667,0.86,0.68,0.7,0.84,0.28,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,314.0,311.51,311.44,311.5,304.83,314.0,311.18,327.0,313.78,313.74,303.38,314.32,314.32
Small Town,Leitrim,Ballinamore,0.76,0.7666666666666667,0.92,0.68,0.6,0.76,0.5,0.5777777777777777,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,314.0,315.92,315.9,315.94,312.65,314.0,315.35,313.0,316.57,317.2,326.09,318.88,318.88
Small Town,Kerry,Killorglin,0.66,0.8333333333333334,0.82,0.66,0.66,0.82,0.44,0.6333333333333333,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,314.0,316.48,316.36,316.45,305.34,314.0,317.6,310.0,314.37,313.88,318.44,315.77,315.77
Village,Kerry,Beaufort,0.72,0.7166666666666667,0.72,0.7,0.72,0.76,0.44,0.6888888888888889,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,314.0,313.59,313.48,313.52,295.03,314.0,314.23,309.0,310.34,310.06,302.31,314.45,314.45
Small Town,Galway,Clifden,0.54,0.8,0.76,0.8,0.6,0.84,0.5,0.6444444444444445,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,314.0,314.7,314.62,314.67,307.01,314.0,314.23,309.0,309.23,308.73,303.95,312.38,312.38
Village,Donegal,Ballyliffin,0.74,0.7333333333333333,0.84,0.58,0.7,0.8,0.32,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,314.0,309.59,309.64,309.56,300.08,314.0,310.09,321.5,311.06,310.94,305.92,309.37,309.37
Village,Clare,Doonbeg,0.66,0.7666666666666667,0.9,0.74,0.62,0.84,0.3,0.6666666666666666,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,314.0,316.42,316.43,316.43,315.21,316.13,315.37,319.0,320.86,321.44,316.59,317.3,317.3
Village,Monaghan,Inniskeen,0.76,0.6,0.86,0.76,0.7,0.8,0.32,0.6777777777777778,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,313.0,313.11,313.14,313.11,308.12,313.0,311.09,313.0,313.65,313.9,304.61,313.93,313.93
Small Town,Clare,Clarecastle,0.62,0.7,0.84,0.76,0.7,0.8,0.36,0.6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,313.0,307.49,307.44,307.5,308.84,313.0,308.81,319.0,310.22,309.8,306.1,308.8,308.8
Village,Kildare,Calverstown,0.76,0.7666666666666667,0.86,0.46,0.76,0.84,0.3,0.7111111111111111,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,313.0,315.32,315.14,315.27,296.81,313.0,313.23,314.0,315.12,314.54,308.56,316.28,316.28
Village,Roscommon,Ballyfarnon,0.72,0.7,0.84,0.66,0.58,0.84,0.44,0.7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,313.0,316.62,316.52,316.59,304.07,313.0,314.54,315.0,315.23,315.15,313.38,318.09,318.09
Village,Westmeath,Streamstown,0.72,0.8333333333333334,0.82,0.66,0.56,0.76,0.36,0.6444444444444445,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,313.0,308.35,308.43,308.35,304.5,315.46,309.01,321.0,317.07,318.04,312.51,316.67,316.67
Village,Leitrim,Drumsna,0.72,0.7333333333333333,0.92,0.66,0.62,0.84,0.4,0.6444444444444445,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,313.0,317.06,317.17,317.07,311.88,313.0,314.9,326.0,315.94,316.68,319.17,317.12,317.12
Village,Longford,Clondra,0.62,0.7333333333333333,0.88,0.64,0.68,0.84,0.38,0.7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,313.0,316.51,316.39,316.48,307.32,313.0,315.87,319.0,314.97,315.36,317.95,316.57,316.57
Small Town,Kildare,Kilcullen,0.7,0.8333333333333334,0.92,0.7,0.62,0.78,0.36,0.5666666666666667,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,313.0,312.17,312.24,312.21,315.64,313.0,312.77,313.0,313.65,313.96,324.5,312.65,312.65
Small Town,Leitrim,Dromahair,0.7,0.8166666666666667,0.86,0.56,0.66,0.84,0.38,0.6555555555555556,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,313.0,314.39,314.46,314.36,303.37,313.0,313.83,313.0,312.62,312.54,310.2,314.89,314.89
Village,Mayo,Belcarra,0.7,0.7833333333333333,0.86,0.7,0.66,0.82,0.28,0.6444444444444445,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,313.0,312.28,312.29,312.28,309.73,313.0,312.77,313.0,314.41,314.64,313.06,312.71,312.71
Village,Tipperary,Cloneen,0.7,0.8666666666666667,0.84,0.62,0.62,0.8,0.3,0.7222222222222222,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,313.0,316.61,316.69,316.59,305.5,313.0,316.3,308.0,312.96,313.86,311.22,313.82,313.82
Village,Kerry,Currow,0.74,0.7,0.78,0.62,0.66,0.72,0.36,0.7444444444444445,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,312.0,308.47,308.35,308.41,295.03,324.66,310.24,304.0,308.23,308.86,305.92,311.99,311.99
Village,Limerick,Glin,0.66,0.7333333333333333,0.84,0.76,0.64,0.88,0.34,0.6222222222222222,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,312.0,312.93,313.03,312.95,310.78,324.46,312.72,304.0,310.64,309.69,309.83,310.29,310.29
Village,Leitrim,Drumkeeran,0.8,0.7833333333333333,0.84,0.46,0.74,0.86,0.36,0.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,312.0,311.35,311.4,311.34,295.76,312.0,311.77,308.0,311.18,310.3,308.44,313.81,313.81
Small Town,Donegal,Dungloe,0.64,0.7666666666666667,0.74,0.74,0.68,0.88,0.36,0.5666666666666667,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,312.0,307.05,307.01,307.05,301.81,312.0,309.02,305.0,306.55,306.04,301.58,306.8,306.8
Small Town,Donegal,Donegal,0.9,0.6,0.8,0.52,0.66,0.86,0.32,0.6777777777777778,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,312.0,307.85,307.57,307.82,290.94,312.0,311.77,315.0,305.9,306.35,298.79,306.38,306.38
Large Urban Centre,Limerick,Limerick City Centre,0.74,0.7333333333333333,0.8,0.72,0.52,0.82,0.48,0.6444444444444445,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,312.0,314.72,313.56,314.69,304.32,304.52,317.43,323.0,317.82,318.7,312.47,312.7,312.7
Small Town,Kerry,Ballybunion,0.66,0.75,0.82,0.64,0.62,0.88,0.42,0.6666666666666666,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,312.0,314.07,313.95,314.04,303.05,312.0,312.23,304.0,311.37,310.74,314.4,311.91,311.91
Village,Mayo,Balla,0.64,0.75,0.82,0.6,0.64,0.82,0.42,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,312.0,308.48,308.57,308.46,300.09,310.32,308.35,308.0,304.81,304.71,308.22,306.57,306.57
Village,Roscommon,Ballyleague,0.66,0.6833333333333333,0.84,0.66,0.68,0.84,0.48,0.6444444444444445,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,312.0,314.11,313.98,314.09,303.66,312.0,312.94,319.0,312.14,312.08,311.94,311.38,311.38
Village,Wicklow,Kiltegan,0.86,0.6666666666666666,0.78,0.42,0.74,0.8,0.3,0.7333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,312.0,310.46,310.03,310.39,284.67,312.0,312.23,314.0,308.06,308.61,302.23,310.88,310.88
Village,Wicklow,Newcastle,0.76,0.6666666666666666,0.74,0.7,0.74,0.74,0.36,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,312.0,310.81,310.36,310.77,295.26,319.86,306.92,309.0,302.41,302.54,299.97,309.62,309.62
Village,Waterford,Villierstown,0.78,0.65,0.9,0.6,0.68,0.74,0.24,0.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,311.0,304.71,304.77,304.7,303.49,304.37,304.76,291.5,300.45,299.0,300.03,301.7,301.7
Village,Sligo,Coney Island,0.64,0.6833333333333333,0.74,0.82,0.72,0.8,0.26,0.7222222222222222,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,311.0,310.7,310.64,310.66,302.9,311.0,310.88,309.0,307.87,307.5,301.27,309.43,309.43
Small Town,Clare,Sixmilebridge,0.7,0.75,0.9,0.62,0.76,0.82,0.34,0.6444444444444445,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,311.0,316.64,316.48,316.62,308.13,311.0,315.63,313.0,311.38,311.89,313.38,314.44,314.44
Village,Galway,Williamstown,0.7,0.7,0.82,0.74,0.56,0.82,0.34,0.7111111111111111,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,311.0,311.8,311.87,311.79,306.31,311.0,310.77,308.0,310.37,310.68,311.94,312.19,312.19
Village,Cork,Ballingeary,0.74,0.8,0.86,0.74,0.66,0.78,0.32,0.5888888888888889,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,311.0,311.74,311.85,311.76,311.71,316.01,312.91,321.0,319.53,319.44,319.17,317.45,317.45
Village,Limerick,Templeglantine,0.76,0.7,0.82,0.66,0.68,0.8,0.3,0.7111111111111111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,311.0,312.8,312.82,312.77,301.77,305.86,313.76,331.0,314.28,313.42,311.51,315.16,315.16
Village,Tipperary,Inch-Bouladuff-Ragg,0.8,0.7,0.86,0.58,0.64,0.82,0.26,0.7333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,311.0,312.15,312.2,312.13,301.28,311.0,312.1,321.5,312.56,312.5,307.69,313.71,313.71
Large Town,Cork,Fermoy,0.64,0.6166666666666667,0.78,0.72,0.64,0.94,0.36,0.7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,311.0,311.65,311.38,311.61,301.37,311.0,311.23,308.0,307.55,308.3,299.15,307.82,307.82
Village,Longford,Ardagh,0.8,0.7,0.88,0.6,0.66,0.9,0.34,0.6333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,311.0,314.62,314.9,314.63,305.2,311.0,314.04,304.0,310.13,310.58,311.63,312.16,312.16
Large Town,Clare,Shannon,0.74,0.8166666666666667,0.94,0.68,0.6,0.8,0.38,0.5222222222222223,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,311.0,310.57,310.57,310.62,316.19,311.0,310.11,319.0,313.73,313.82,325.34,314.07,314.07
Village,Galway,An Spidéal,0.8,0.7333333333333333,0.86,0.62,0.66,0.8,0.26,0.6777777777777778,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,311.0,312.34,312.23,312.33,303.95,305.23,311.91,321.5,313.51,313.26,312.33,312.72,312.72
Small Town,Donegal,Killybegs,0.68,0.6666666666666666,0.76,0.56,0.68,0.8,0.38,0.7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,310.0,303.57,303.32,303.51,290.38,310.0,302.96,301.0,305.36,304.7,299.97,302.0,302.0
