category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_knn,pred_svr,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Kilkenny,Tullahought,0.78,0.8,0.94,0.76,0.54,0.88,0.4,0.7333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,336.0,335.02,335.16,335.01,321.15,336.0,335.34,332.0,334.57,334.26,331.56,336.98,336.98
Village,Galway,Abbey,0.8,0.75,0.9,0.8,0.6,0.78,0.46,0.7111111111111111,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,336.0,332.34,332.32,332.32,317.16,336.0,333.1,331.0,333.27,333.38,327.31,332.29,332.29
Small Town,Clare,Kilrush,0.68,0.8833333333333333,0.96,0.7,0.68,0.98,0.44,0.6111111111111112,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,336.0,337.8,337.78,337.8,323.15,332.72,338.35,331.0,331.07,329.82,328.29,335.39,335.07
Large Town,Wicklow,Wicklow,0.7,0.7666666666666667,0.88,0.7,0.74,0.94,0.38,0.6666666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,336.0,332.36,331.85,332.33,312.73,336.0,335.77,327.5,330.98,330.98,324.54,332.34,332.34
Small Town,Leitrim,Carrick-On-Shannon,0.8,0.85,0.96,0.66,0.6,0.96,0.48,0.6111111111111112,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,336.0,336.76,336.76,336.77,319.92,336.0,335.77,344.0,335.69,336.01,329.56,335.74,335.74
Village,Tipperary,Silvermines,0.72,0.6833333333333333,0.92,0.84,0.62,0.9,0.46,0.7222222222222222,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,336.0,335.64,335.49,335.61,321.06,336.0,334.8,326.0,332.84,332.92,326.27,334.4,334.4
Small Town,Kerry,Kenmare,0.8,0.8166666666666667,0.8,0.7,0.68,0.9,0.44,0.7333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,336.0,337.84,337.51,337.76,306.43,336.0,336.23,335.0,332.69,332.75,326.09,333.24,333.24
Large Town,Dublin,Dalkey,0.66,0.8166666666666667,0.9,0.84,0.7,0.96,0.44,0.6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,336.0,334.26,334.11,334.26,323.45,336.0,336.23,331.0,334.09,333.64,328.73,335.14,335.14
Small Town,Kildare,Straffan,0.8,0.7833333333333333,0.86,0.8,0.76,0.78,0.3,0.7555555555555555,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,336.0,334.96,334.69,334.89,314.49,336.0,335.67,331.0,332.66,332.9,324.54,333.69,333.69
Large Urban Centre,Kildare,Naas,0.7,0.85,0.92,0.86,0.78,0.86,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,335.0,338.53,338.4,338.53,325.69,333.99,337.72,319.0,328.89,327.95,329.21,332.6,332.6
Small Town,Limerick,Adare,0.8,0.8333333333333334,0.96,0.66,0.7,0.84,0.36,0.6888888888888889,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,335.0,334.82,334.66,334.79,317.84,335.0,334.77,329.0,334.77,334.54,329.5,332.74,332.74
Large Urban Centre,Tipperary,Clonmel,0.72,0.9,0.86,0.66,0.74,0.92,0.4,0.6777777777777778,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,335.0,336.57,336.34,336.51,311.87,335.0,334.77,335.0,332.68,332.4,326.8,336.4,336.4
Large Town,Wicklow,Arklow,0.76,0.8,0.94,0.72,0.74,0.78,0.4,0.6333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,335.0,330.34,330.04,330.33,317.63,282.05,326.9,319.0,323.35,323.43,329.21,331.85,331.85
Village,Cork,Rathbarry,0.84,0.8333333333333334,0.92,0.68,0.6,0.8,0.32,0.7777777777777778,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,335.0,334.35,334.32,334.31,314.85,335.0,334.77,331.0,332.34,332.66,326.8,333.93,333.93
Village,Clare,Ballynacally,0.72,0.8333333333333334,0.88,0.62,0.64,0.9,0.36,0.7666666666666667,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,334.0,331.76,331.6,331.7,309.56,334.0,333.48,327.0,330.52,331.36,326.8,333.41,333.41
Small Town,Kildare,Kill,0.84,0.7833333333333333,0.96,0.66,0.66,0.82,0.38,0.7333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,334.0,335.98,335.72,335.94,316.32,334.0,333.77,334.0,333.08,333.15,327.83,336.12,336.12
Village,Cork,Lislevane,0.74,0.8166666666666667,0.9,0.68,0.6,0.9,0.4,0.7333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,334.0,332.08,332.18,332.06,314.09,331.56,332.6,329.0,331.99,331.49,329.21,336.02,336.02
Small Town,Wicklow,Aughrim,0.78,0.75,0.92,0.62,0.68,0.88,0.42,0.7444444444444445,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,334.0,336.07,335.6,336.02,310.71,334.0,334.23,327.0,330.28,330.98,327.83,330.63,330.63
Small Town,Cork,Bantry,0.84,0.7833333333333333,0.9,0.68,0.68,0.9,0.36,0.6666666666666666,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,334.0,331.77,331.59,331.75,313.27,334.0,333.77,334.0,332.88,332.79,327.19,333.6,333.6
Village,Cork,Kilbrittain,0.78,0.8,0.94,0.68,0.7,0.86,0.32,0.6444444444444445,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,334.0,325.33,325.46,325.34,316.61,324.75,326.98,332.0,327.54,327.96,326.09,326.13,326.13
Large Town,Cork,Youghal,0.8,0.7666666666666667,0.92,0.76,0.66,0.92,0.36,0.6444444444444445,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,333.0,333.0,334.14,333.02,319.14,333.0,332.77,332.0,331.92,331.42,326.8,333.19,333.19
Large Town,Donegal,Buncrana,0.66,0.8166666666666667,0.94,0.88,0.64,0.94,0.34,0.6333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,333.0,332.68,332.76,332.69,328.79,326.76,332.81,327.5,330.63,330.26,327.19,330.2,330.2
Small Town,Cork,Kinsale,0.78,0.7833333333333333,0.96,0.66,0.74,0.96,0.3,0.6888888888888889,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,333.0,335.12,334.97,335.09,318.27,333.0,333.23,332.0,332.73,332.5,324.54,332.97,332.97
Village,Cork,Ballydehob,0.76,0.8,0.92,0.78,0.64,0.84,0.36,0.6888888888888889,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,333.0,331.23,331.16,331.22,319.91,326.04,332.48,332.0,330.52,330.29,329.62,331.67,331.67
Village,Donegal,Glenties,0.74,0.7666666666666667,0.92,0.64,0.8,0.84,0.38,0.6888888888888889,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,332.0,329.5,329.34,329.45,311.63,332.0,330.73,332.0,329.84,330.3,326.09,332.39,332.39
