pdf_name,pdf_path,pdf_found,pdf_success,year,county
1996 COUNTY CORK BANDON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BARTLEMY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BERE ISLAND.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BLARNEY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK BOHERBUE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CARRIGALINE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CARRIGANIMA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CASTLELYONS-BRIDESBRIDGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CASTLETOWNBERE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CASTLETOWNROCHE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CASTLETOWNSEND.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CHARLEVILLE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CHURCHTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CLONAKILTY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK COBH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CONNA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK COOLAGOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK COURTMACSHERRY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK CROSSHAVEN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK DONERAILE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK DRIMOLEAGUE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK DUNMANWAY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK DURRUS.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK EYERIES.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK FERMOY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK FREEMOUNT.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK GLANMIRE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK GLENGARRIFF.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK GLOUNTHAUNE VILLAGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK GUILEEN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK INCH-CORK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK INCHIGEELA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK INNISHANNON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KANTURK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KILBRITTAIN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KILCROHANE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KILDORRERY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KILLEAGH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KILWORTH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KINSALE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK KNOCKNAGREE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK LADYSBRIDGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK LISCARROLL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK MACROOM.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK MALLOW.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK MIDLETON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK MILLSTREET.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK NEWCESTOWN VILLAGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK NEWMARKET-CORK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK PASSAGE WEST.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK RATHBARRY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK REENASCREENA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK RINGASKIDDY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK ROCHESTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK ROCKCHAPEL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK ROSSCARBERY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK ROSTELLAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK SHERKIN ISLAND.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK SKIBBEREEN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK TIMOLEAGUE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK UNION HALL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK WATERGRASSHILL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996 COUNTY CORK YOUGHAL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cork
1996-County-Cork_North-Ballyclough-994.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Bartlemy-94.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Castlelyons-Bridesbridge-572.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Castletownroche-493.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Charleville-734.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Churchtown-948.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Conna-1058.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Coolagown-649.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Doneraile-942.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Fermoy-588.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Freemount-650.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Kanturk-652.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Kildorrery-457.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Kilworth-297.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Knocknagree-822.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Liscarroll-891.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Mallow-656.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Millstreet-480.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Newmarket-658.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Rockchapel-1035.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996-County-Cork_North-Watergrasshill-841.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,cork-north
1996 COUNTY DONEGAL BUNCRANA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL BUNDORAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL CARRIGART.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL CHURCHILL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL CLONMANY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL CULDAFF.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL DONEGAL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL DOOCHARY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL DUNFANAGHY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL FINTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL FROSSES.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL GLENTIES.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL GREENCASTLE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL KILMACRENAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL LETTERKENNY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL LIFFORD.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL LOUGHANURE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL MALIN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL MILFORD-DONEGAL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL MOVILLE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL MULLACHDUBH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL NARIN-PORTNOO.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL RAMELTON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL RAPHOE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DONEGAL RATHMULLAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,donegal
1996 COUNTY DUBLIN BALBRIGGAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN BALLYBOUGHAL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN BALLYBRACK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN BALLYFERMOT.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN BALROTHERY VILLAGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN BLACKROCK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN BLANCHARDSTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN CASTLEKNOCK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN COOLOCK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN DALKEY TOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN FINGLAS.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN GARRISTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN HOWTH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN KILLESTER.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN LUCAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN LUSK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN MALAHIDE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN NEWCASTLE-LYONS.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN RAHENY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN SANDYMOUNT.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN SKERRIES.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
1996 COUNTY DUBLIN STEPASIDE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,dublin
