date,county_l1,town,pdf_path,pdf_name
2005-01-06,Carlow,Hacketstown,../crawler/output/pdfs/2005/carlow,2005 COUNTY CARLOW HACKETSTOWN.pdf
2005-10-22,Meath,Drumcree,../crawler/output/pdfs/2005/meath,2005 COUNTY MEATH DRUMCREE.pdf
2005-10-28,Mayo,Killala,../crawler/output/pdfs/2005/mayo,2005 COUNTY MAYO KILLALA.pdf
2008-01-01,Meath,Kells,../crawler/output/pdfs/2008/meath,2008 County Meath Kells 579.pdf
2011-03-03,Roscommon,Keadue,../crawler/output/pdfs/2011/roscommon,2011_Roscommon_Keadue_745.pdf
2012-03-20,Limerick,Distillery View Estate,../crawler/output/pdfs/2012/limerick,2012-County-Limerick-Distillery-View-Estate-2070.pdf
2015-02-15,Limerick,Broadford,../crawler/output/pdfs/2015/limerick,2015-County-Limerick-Broadford-444.pdf
2017-04-10,Limerick,Ballysteen,../crawler/output/pdfs/2017/limerick,2017 County Limerick Ballysteen 2221.pdf
2018-11-10,Cork,Youghal,../crawler/output/pdfs/2018/cork-south,2018-County-Cork_South-Youghal-600.pdf
2019-10-09,Limerick,Glenroe,../crawler/output/pdfs/2019/limerick,2019-County-Limerick-Glenroe-1145.pdf
2019-10-10,Laois,Mountrath,../crawler/output/pdfs/2019/laois,2019-County-Laois-Mountrath-284.pdf
2019-10-16,Longford,Ballinamuck,../crawler/output/pdfs/2019/longford,2019-County-Longford-Ballinamuck-475.pdf
2019-10-16,Roscommon,Knockcroghery,../crawler/output/pdfs/2019/roscommon,2019-County-Roscommon-Knockcroghery-519.pdf
2019-11-19,Offaly,Clonbullogue,../crawler/output/pdfs/2019/offaly,2019-County-Offaly-Clonbullogue-618.pdf
